PostId,Sentiment_Majority,Predicted_o3_zero_shot,Confidence_o3_zero_shot,Predicted_o3_few_shot,Confidence_o3_few_shot,Predicted_o3_naive,Confidence_o3_naive,Predicted_o3-mini_zero_shot,Confidence_o3-mini_zero_shot,Predicted_o3-mini_few_shot,Confidence_o3-mini_few_shot,Predicted_o3-mini_naive,Confidence_o3-mini_naive,Predicted_gpt-4.1_zero_shot,Confidence_gpt-4.1_zero_shot,Predicted_gpt-4.1_few_shot,Confidence_gpt-4.1_few_shot,Predicted_gpt-4.1_naive,Confidence_gpt-4.1_naive,Predicted_gpt-4.1-mini_zero_shot,Confidence_gpt-4.1-mini_zero_shot,Predicted_gpt-4.1-mini_few_shot,Confidence_gpt-4.1-mini_few_shot,Predicted_gpt-4.1-mini_naive,Confidence_gpt-4.1-mini_naive
VZo57z,1,Positive,0.85,Positive,0.87,Positive,0.85,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,1,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
zBmONq,1,Positive,0.86,Positive,0.85,Positive,0.8,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
ZrQq6r,1,Positive,0.9,Positive,0.8,Positive,0.88,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
15weAy,1,Positive,0.9,Positive,0.9,Positive,0.85,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
K4jO3z,1,Positive,0.9,Positive,0.9,Positive,0.83,Positive,0.95,Positive,0.9,Positive,0.95,Positive,1,Positive,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8
QPvEnK,1,Positive,0.85,Positive,0.85,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.95,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.8
7relG3,-1,Negative,0.85,Negative,0.86,Negative,0.83,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
K46e3p,-1,Negative,0.82,Negative,0.85,Negative,0.91,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.8,Negative,0.9,Negative,0.9
864pRy,-1,Negative,0.9,Negative,0.9,Negative,0.86,Negative,0.95,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.95,Negative,0.9,Negative,0.8,Negative,0.9
EQ9k9o,-1,Negative,0.8,Negative,0.9,Negative,0.88,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
D897B0,1,Positive,0.9,Positive,0.9,Positive,0.87,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
dgk7O1,1,Positive,0.87,Positive,0.86,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9
bkWj5E,-1,Negative,0.85,Negative,0.85,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.95,Negative,0.95,Negative,0.8,Negative,0.9,Negative,0.9
86BrEX,-1,Negative,0.83,Negative,0.83,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.8,Negative,0.8,Negative,0.8
86qbjy,1,Positive,0.95,Positive,0.93,Positive,0.93,Positive,1,Positive,1,Positive,1,Positive,1,Positive,1,Positive,1,Positive,0.9,Positive,0.95,Positive,0.9
4B4wOO,-1,Negative,0.78,Negative,0.75,Negative,0.85,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
yZ9OwE,1,Positive,0.8,Positive,0.8,Positive,0.87,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.8,Positive,0.8,Neutral,0.7,Positive,0.8,Positive,0.8,Positive,0.8
emX9yK,1,Positive,0.83,Positive,0.85,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
861r62,1,Positive,0.93,Positive,0.9,Positive,0.93,Positive,1,Positive,0.95,Positive,0.95,Positive,1,Positive,1,Positive,1,Positive,0.9,Positive,0.8,Positive,0.8
VZKbXz,1,Positive,0.93,Positive,0.9,Positive,0.93,Positive,0.95,Positive,0.95,Positive,1,Positive,1,Positive,1,Positive,1,Positive,0.9,Positive,0.9,Positive,0.9
em36aw,1,Positive,0.85,Positive,0.83,Positive,0.83,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
Bm94aO,1,Positive,0.9,Positive,0.87,Positive,0.88,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8
zBz05q,0,Neutral,0.71,Negative,0.8,Negative,0.65,Negative,0.9,Negative,0.9,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.7,Neutral,0.7,Negative,0.7
PwKlvO,1,Positive,0.8,Positive,0.83,Positive,0.88,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
Gol1j8,0,Neutral,0.75,Neutral,0.75,Neutral,0.74,Neutral,0.9,Neutral,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Negative,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
ONd35Z,-1,Negative,0.85,Negative,0.83,Negative,0.85,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.8,Negative,0.8,Negative,0.8
oJVQkX,1,Positive,0.84,Positive,0.84,Positive,0.9,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
yZbWRr,-1,Negative,0.83,Negative,0.8,Negative,0.87,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.8,Negative,0.9,Negative,0.9
g86oRW,-1,Negative,0.8,Negative,0.8,Negative,0.86,Negative,0.95,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
6VvAj0,1,Positive,0.85,Positive,0.85,Positive,0.82,Positive,0.9,Positive,0.9,Neutral,0.8,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
VZ2jGA,-1,Negative,0.83,Negative,0.82,Negative,0.8,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
4BoeyK,-1,Negative,0.75,Negative,0.8,Negative,0.65,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.9,Negative,0.8,Negative,0.8,Negative,0.8
GoQ8Ww,1,Positive,0.93,Positive,0.92,Positive,0.92,Positive,1,Positive,0.95,Positive,0.9,Positive,0.9,Positive,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9
15bDy8,0,Negative,0.75,Negative,0.75,Neutral,0.6,Neutral,0.9,Negative,0.9,Neutral,0.8,Neutral,0.8,Neutral,0.8,Negative,0.8,Neutral,0.8,Neutral,0.8,Neutral,0.8
K4EdEJ,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.95,Positive,0.9,Positive,0.95,Positive,1,Positive,1,Positive,0.95,Positive,0.8,Positive,0.8,Positive,0.8
a0dPvp,1,Positive,0.85,Positive,0.87,Positive,0.85,Positive,0.95,Positive,0.9,Positive,0.95,Positive,1,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.9
n4mQWw,-1,Negative,0.85,Negative,0.85,Negative,0.9,Negative,0.9,Negative,0.95,Negative,0.95,Negative,0.9,Negative,0.9,Negative,0.9,Negative,0.8,Negative,0.9,Negative,0.9
6Vvq0d,1,Positive,0.86,Positive,0.85,Positive,0.8,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Negative,0.9,Positive,0.8,Positive,0.8,Positive,0.8
zBr6yw,1,Positive,0.85,Positive,0.85,Positive,0.9,Positive,1,Positive,1,Positive,1,Positive,1,Positive,1,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9
XnbGRQ,1,Positive,0.9,Positive,0.9,Positive,0.85,Positive,0.95,Positive,0.95,Positive,0.95,Positive,1,Positive,1,Positive,0.95,Positive,0.8,Positive,0.8,Positive,0.8
w5VJdl,1,Positive,0.85,Positive,0.86,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
n4QOlo,1,Positive,0.85,Positive,0.85,Positive,0.8,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,1,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
emK3ww,1,Positive,0.9,Positive,0.9,Positive,0.92,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8
ZrePyR,1,Positive,0.8,Positive,0.75,Positive,0.75,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.9,Positive,0.9,Positive,0.8,Positive,0.8,Positive,0.8,Positive,0.7
3Zol0b,1,Positive,0.9,Positive,0.91,Positive,0.93,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.95,Positive,1,Positive,0.9,Positive,0.8,Positive,0.9,Positive,0.8
R2k49V,1,Positive,0.93,Positive,0.9,Positive,0.93,Positive,1,Positive,0.95,Positive,0.95,Positive,1,Positive,1,Positive,0.95,Positive,0.9,Positive,0.9,Positive,0.9
VZoJz2,1,Positive,0.74,Positive,0.75,Negative,0.7,Positive,0.8,Positive,0.8,Neutral,0.8,Positive,0.9,Positive,0.9,Negative,0.8,Positive,0.7,Positive,0.7,Positive,0.8
g8Owwl,1,Positive,0.9,Positive,0.9,Positive,0.9,Positive,1,Positive,0.9,Positive,0.95,Positive,1,Positive,1,Positive,0.95,Positive,0.8,Positive,0.8,Positive,0.8
qVJm42,1,Positive,0.86,Positive,0.85,Positive,0.9,Positive,1,Positive,0.9,Positive,0.95,Positive,1,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.8,Positive,0.8
2jQrbj,1,Positive,0.85,Positive,0.85,Negative,0.55,Positive,0.8,Positive,0.9,Neutral,0.9,Positive,0.8,Positive,0.9,Negative,0.9,Positive,0.8,Positive,0.8,Positive,0.8
qVRvJ9,1,Positive,0.8,Positive,0.83,Positive,0.8,Positive,0.95,Positive,0.95,Positive,0.95,Positive,0.9,Positive,0.95,Positive,0.95,Positive,0.8,Positive,0.8,Positive,0.8
